['Lucy Westenra'],113
['Prof. Van Helsing'],125
['Arthur Holwood'],168
['Dr. Seward'],88
['Mina Murray'],13
['Jonathan Harker'],149
['Count Dracula'],9
['Quincey Morris'],17
"['Prof. Van Helsing', 'Lucy Westenra']",25
"['Arthur Holwood', 'Lucy Westenra']",34
"['Jonathan Harker', 'Lucy Westenra']",25
"['Prof. Van Helsing', 'Arthur Holwood']",31
"['Dr. Seward', 'Prof. Van Helsing']",7
"['Jonathan Harker', 'Prof. Van Helsing']",25
"['Quincey Morris', 'Prof. Van Helsing']",9
"['Quincey Morris', 'Arthur Holwood']",16
"['Count Dracula', 'Jonathan Harker']",9
"['Jonathan Harker', 'Prof. Van Helsing', 'Lucy Westenra']",25
"['Quincey Morris', 'Prof. Van Helsing', 'Arthur Holwood']",9
