['Mina Murray'],218
['Prof. Van Helsing'],112
['Jonathan Harker'],182
['Dr. Seward'],94
['Quincey Morris'],65
['Count Dracula'],27
['Lucy Westenra'],28
"['Mina Murray', 'Jonathan Harker']",36
"['Mina Murray', 'Dr. Seward']",5
"['Mina Murray', 'Quincey Morris']",7
"['Dr. Seward', 'Prof. Van Helsing']",16
"['Dr. Seward', 'Jonathan Harker']",8
"['Quincey Morris', 'Jonathan Harker']",23
"['Quincey Morris', 'Dr. Seward']",16
"['Dr. Seward', 'Lucy Westenra']",28
"['Dr. Seward', 'Quincey Morris', 'Jonathan Harker']",8
