16,['Quincey Morris'],68
16,['Dr. Seward'],14
16,"['Arthur Holwood', 'Prof. Van Helsing']",22
16,"['Quincey Morris', 'Prof. Van Helsing']",9
16,"['Arthur Holwood', 'Lucy Westenra']",31
16,"['Arthur Holwood', 'Quincey Morris']",31
17,['Prof. Van Helsing'],46
17,['Jonathan Harker'],92
17,['Mina Murray'],37
17,['Dr. Seward'],88
17,['Lucy Westenra'],64
17,['Quincey Morris'],31
17,['Count Dracula'],23
17,['Renfield'],18
17,"['Jonathan Harker', 'Prof. Van Helsing']",10
17,"['Lucy Westenra', 'Prof. Van Helsing']",12
17,"['Quincey Morris', 'Prof. Van Helsing']",12
17,"['Jonathan Harker', 'Dr. Seward']",30
17,"['Mina Murray', 'Dr. Seward']",11
17,"['Lucy Westenra', 'Dr. Seward']",15
17,"['Quincey Morris', 'Lucy Westenra']",12
17,"['Renfield', 'Count Dracula']",7
17,"['Quincey Morris', 'Lucy Westenra', 'Prof. Van Helsing']",12
18,['Quincey Morris'],88
18,['Dr. Seward'],126
18,['Renfield'],33
18,['Prof. Van Helsing'],74
18,['Lucy Westenra'],36
18,['Mina Murray'],53
18,['Count Dracula'],122
18,['Jonathan Harker'],78
18,"['Quincey Morris', 'Dr. Seward']",16
18,"['Quincey Morris', 'Prof. Van Helsing']",6
18,"['Quincey Morris', 'Lucy Westenra']",27
18,"['Mina Murray', 'Quincey Morris']",16
18,"['Quincey Morris', 'Count Dracula']",8
18,"['Quincey Morris', 'Jonathan Harker']",8
18,"['Prof. Van Helsing', 'Dr. Seward']",9
18,"['Lucy Westenra', 'Dr. Seward']",16
18,"['Mina Murray', 'Dr. Seward']",25
18,"['Mina Murray', 'Lucy Westenra']",16
18,"['Count Dracula', 'Jonathan Harker']",5
18,"['Quincey Morris', 'Lucy Westenra', 'Dr. Seward']",16
18,"['Mina Murray', 'Quincey Morris', 'Dr. Seward']",16
18,"['Mina Murray', 'Quincey Morris', 'Lucy Westenra']",16
18,"['Mina Murray', 'Lucy Westenra', 'Dr. Seward']",16
18,"['Mina Murray', 'Quincey Morris', 'Lucy Westenra', 'Dr. Seward']",16
19,['Mina Murray'],80
19,['Jonathan Harker'],116
19,['Renfield'],5
19,['Quincey Morris'],34
19,['Prof. Van Helsing'],57
19,['Dr. Seward'],82
19,['Count Dracula'],43
19,['Lucy Westenra'],16
19,"['Mina Murray', 'Jonathan Harker']",19
19,"['Quincey Morris', 'Prof. Van Helsing']",11
19,"['Prof. Van Helsing', 'Dr. Seward']",26
20,['Jonathan Harker'],24
20,['Count Dracula'],60
20,['Mina Murray'],37
20,['Dr. Seward'],29
20,['Prof. Van Helsing'],37
20,['Quincey Morris'],7
20,['Renfield'],40
20,"['Jonathan Harker', 'Prof. Van Helsing']",7
20,"['Renfield', 'Dr. Seward']",13
21,['Prof. Van Helsing'],175
21,['Renfield'],39
21,['Arthur Holwood'],20
21,['Quincey Morris'],56
21,['Mina Murray'],15
21,['Dr. Seward'],15
21,['Jonathan Harker'],39
21,['Count Dracula'],43
21,['Lucy Westenra'],10
21,"['Arthur Holwood', 'Prof. Van Helsing']",20
21,"['Quincey Morris', 'Prof. Van Helsing']",21
21,"['Jonathan Harker', 'Prof. Van Helsing']",8
21,"['Count Dracula', 'Prof. Van Helsing']",8
21,"['Arthur Holwood', 'Quincey Morris']",14
21,"['Count Dracula', 'Jonathan Harker']",8
21,"['Count Dracula', 'Lucy Westenra']",10
21,"['Arthur Holwood', 'Quincey Morris', 'Prof. Van Helsing']",14
21,"['Count Dracula', 'Jonathan Harker', 'Prof. Van Helsing']",8
22,['Jonathan Harker'],40
22,['Prof. Van Helsing'],151
22,['Dr. Seward'],57
22,['Mina Murray'],149
22,['Renfield'],30
22,['Count Dracula'],82
22,['Arthur Holwood'],9
